gene,term
PV2T_000405,129951
PV2T_000406,129951
PV2T_000407,129951
PV2T_000408,129951
PV2T_000409,129951
PV2T_000410,129951
PV2T_000411,129951
PV2T_000412,129951
PV2T_000413,129951
PV2T_000414,129951
PV2T_000415,129951
PV2T_000416,129951
PV2T_000417,129951
PV2T_000418,129951
PV2T_000419,129951
PV2T_000420,129951
PV2T_000421,129951
PV2T_000422,129951
PV2T_000423,129951
PV2T_000424,129951
PV2T_000425,129951
PV2T_000426,129951
PV2T_000427,129951
PV2T_000428,129951
PV2T_000429,129951
PV2T_000430,129951
PV2T_000431,129951
PV2T_000432,129951
PV2T_000433,129951
PV2T_000434,129951
PV2T_000435,129951
PV2T_000436,129951
PV2T_000437,129951
PV2T_000438,129951
PV2T_000439,129951
PV2T_000440,129951
PV2T_000441,129951
PV2T_000442,129951
PV2T_000443,129951
PV2T_000444,129951
PV2T_000445,129951
PV2T_000446,129951
PV2T_000447,129951
PV2T_000448,129951
PV2T_000449,129951
PV2T_000450,129951
PV2T_000451,129951
PV2T_000452,129951
PV2T_000453,129951
PV2T_000454,129951
PV2T_000455,129951
PV2T_000456,129951
PV2T_000457,129951
PV2T_000458,129951
PV2T_000459,129951
PV2T_000460,129951
PV2T_000461,129951
PV2T_000462,129951
PV2T_000463,129951
PV2T_000464,129951
PV2T_000465,129951
PV2T_000466,129951
PV2T_000467,129951
PV2T_000468,129951
PV2T_000469,129951
PV2T_000470,129951
PV2T_000471,129951
PV2T_000472,129951
PV2T_000473,129951
PV2T_000474,129951
PV2T_000475,129951
PV2T_000476,129951
PV2T_000477,129951
PV2T_000478,68887
PV2T_000479,68887
PV2T_000480,68887
PV2T_000481,68887
PV2T_000482,68887
PV2T_000483,68887
PV2T_000484,68887
PV2T_000485,68887
PV2T_000486,68887
PV2T_000487,68887
PV2T_000488,68887
PV2T_000489,68887
PV2T_000490,68887
PV2T_000491,68887
PV2T_000492,68887
PV2T_000493,68887
PV2T_000494,68887
PV2T_000495,68887
PV2T_000496,68887
PV2T_000497,68887
PV2T_000498,68887
PV2T_000499,68887
PV2T_000500,68887
PV2T_000501,68887
PV2T_000502,68887
PV2T_000503,68887
PV2T_000504,68887
PV2T_000505,68887
PV2T_000506,68887
PV2T_000507,68887
PV2T_000508,68887
PV2T_000509,68887
PV2T_000510,68887
PV2T_000511,68887
PV2T_000512,68887
PV2T_000513,68887
PV2T_000514,68887
PV2T_000515,68887
PV2T_000516,68887
PV2T_000517,68887
PV2T_000518,68887
PV2T_000519,68887
PV2T_000520,68887
PV2T_000521,68887
PV2T_000522,68887
PV2T_000523,68887
PV2T_000524,68887
PV2T_000525,68887
PV2T_000526,68887
PV2T_000527,68887
PV2T_000528,68887
PV2T_000529,68887
PV2T_000530,68887
PV2T_000531,68887
PV2T_000532,68887
PV2T_000533,68887
PV2T_000534,68887
PV2T_000535,68887
PV2T_000536,68887
PV2T_000537,68887
PV2T_000538,68887
PV2T_000539,68887
PV2T_000540,68887
PV2T_000541,68887
PV2T_000542,68887
PV2T_000543,68887
PV2T_000544,68887
PV2T_000545,68887
PV2T_000546,68887
PV2T_000547,68887
PV2T_000548,68887
PV2T_000549,68887
PV2T_000550,68887
PV2T_000551,68887
PV2T_000552,68887
PV2T_000553,68887
PV2T_000554,68887
PV2T_000555,68887
PV2T_000556,68887
PV2T_000557,68887
PV2T_000558,68887
PV2T_000559,68887
PV2T_000560,68887
PV2T_000561,68887
PV2T_000562,68887
PV2T_000563,68887
PV2T_000564,68887
PV2T_000565,68887
PV2T_000566,68887
PV2T_000567,68887
PV2T_000568,68887
PV2T_000569,68887
PV2T_000570,68887
PV2T_000571,68887
PV2T_000572,68887
PV2T_000573,68887
PV2T_000574,68887
PV2T_000575,68887
PV2T_000576,68887
PV2T_000577,68887
PV2T_000578,68887
PV2T_000579,68887
PV2T_000580,68887
PV2T_000581,68887
PV2T_000582,68887
PV2T_000583,68887
PV2T_000584,68887
PV2T_000585,68887
PV2T_000586,68887
PV2T_000587,68887
PV2T_000588,68887
PV2T_000589,68887
PV2T_000590,68887
PV2T_000591,68887
PV2T_000592,68887
PV2T_000593,68887
PV2T_000594,68887
PV2T_000595,68887
PV2T_000596,68887
PV2T_000597,68887
PV2T_000598,68887
PV2T_000599,68887
PV2T_000600,68887
PV2T_000601,68887
PV2T_000602,68887
PV2T_000603,68887
PV2T_000604,68887
PV2T_000605,68887
PV2T_000606,68887
PV2T_000607,68887
PV2T_000608,68887
PV2T_000609,68887
PV2T_000610,68887
PV2T_000611,68887
PV2T_000612,68887
PV2T_000613,68887
PV2T_000614,68887
PV2T_000615,68887
PV2T_000616,68887
PV2T_000617,68887
PV2T_000618,68887
PV2T_000619,68887
PV2T_000620,68887
PV2T_000621,68887
PV2T_000622,68887
PV2T_000623,68887
PV2T_000624,68887
PV2T_000625,68887
PV2T_000626,68887
PV2T_000627,68887
PV2T_000628,68887
PV2T_000629,68887
PV2T_000630,68887
PV2T_000631,68887
PV2T_000632,68887
PV2T_000633,68887
PV2T_000634,68887
PV2T_000635,68887
PV2T_000636,68887
PV2T_000637,68887
PV2T_000638,68887
PV2T_000639,68887
PV2T_000640,68887
PV2T_000641,68887
PV2T_000642,68887
PV2T_000643,68887
PV2T_000644,68887
PV2T_000645,68887
PV2T_000646,68887
PV2T_000647,68887
PV2T_000648,68887
PV2T_000649,68887
PV2T_000650,68887
PV2T_000651,68887
PV2T_000652,68887
PV2T_000653,68887
PV2T_000654,68887
PV2T_000655,68887
PV2T_000656,68887
PV2T_000657,68887
PV2T_000658,68887
PV2T_000659,68887
PV2T_000660,68887
PV2T_000661,68887
PV2T_000662,68887
PV2T_000663,68887
PV2T_000664,68887
PV2T_000665,68887
PV2T_000666,68887
PV2T_000667,68887
PV2T_000668,68887
PV2T_000669,68887
PV2T_000670,68887
PV2T_000671,68887
PV2T_000672,1239565
PV2T_000673,1239565
PV2T_000674,1239565
PV2T_000675,1239565
