         term        gene
374     11983 PV2T_000873
375     11983 PV2T_000874
376     11983 PV2T_000875
377     11983 PV2T_000876
378     11983 PV2T_000877
379     11983 PV2T_000878
380     11983 PV2T_000879
381     11983 PV2T_000880
382     11983 PV2T_000881
383     11983 PV2T_000882
384     11983 PV2T_000883
385     11983 PV2T_000884
386     11983 PV2T_000885
387     11983 PV2T_000886
388     11983 PV2T_000887
389     11983 PV2T_000888
390     11983 PV2T_000889
391     11983 PV2T_000890
392     11983 PV2T_000891
393     11983 PV2T_000892
394     11983 PV2T_000893
395     11983 PV2T_000894
396     11983 PV2T_000895
397     11983 PV2T_000896
398     11983 PV2T_000897
399     11983 PV2T_000898
400     11983 PV2T_000899
401     11983 PV2T_000900
402     11983 PV2T_000901
403     11983 PV2T_000902
404     11983 PV2T_000903
405     11983 PV2T_000904
406     11983 PV2T_000905
407     11983 PV2T_000906
408     11983 PV2T_000907
409     11983 PV2T_000908
410     11983 PV2T_000909
411     11983 PV2T_000910
412     11983 PV2T_000911
413     11983 PV2T_000912
414     11983 PV2T_000913
415     11983 PV2T_000914
416     11983 PV2T_000915
417     11983 PV2T_000916
418     11983 PV2T_000917
419     11983 PV2T_000918
420     11983 PV2T_000919
421     11983 PV2T_000920
422     11983 PV2T_000921
423     11983 PV2T_000922
424     11983 PV2T_000923
425     11983 PV2T_000924
426     11983 PV2T_000925
427     11983 PV2T_000926
428     11983 PV2T_000927
429     11983 PV2T_000928
430     11983 PV2T_000929
431     11983 PV2T_000930
432     11983 PV2T_000931
433     11983 PV2T_000932
434     11983 PV2T_000933
435     11983 PV2T_000934
436     11983 PV2T_000935
437     11983 PV2T_000936
438     11983 PV2T_000937
439     11983 PV2T_000938
440     11983 PV2T_000939
441     11983 PV2T_000940
442     11983 PV2T_000941
443     11983 PV2T_000942
444     11983 PV2T_000943
445     11983 PV2T_000944
446     11983 PV2T_000945
447     11983 PV2T_000946
448     11983 PV2T_000947
449     11983 PV2T_000948
450     11983 PV2T_000949
451     11983 PV2T_000950
452     11983 PV2T_000951
453     11983 PV2T_000952
454     11983 PV2T_000953
455     11983 PV2T_000954
456     11983 PV2T_000955
457     11983 PV2T_000956
458     11983 PV2T_000957
459     11983 PV2T_000958
460     11983 PV2T_000959
461     11983 PV2T_000960
462     11983 PV2T_000961
463     11983 PV2T_000962
464     11983 PV2T_000963
465     11983 PV2T_000964
466     11983 PV2T_000965
467     11983 PV2T_000966
468     11983 PV2T_000967
469     11983 PV2T_000968
470     11983 PV2T_000969
471     11983 PV2T_000970
472     11983 PV2T_000971
473     11983 PV2T_000972
474     11983 PV2T_000973
475     11983 PV2T_000974
476     11983 PV2T_000975
477     11983 PV2T_000976
478     11983 PV2T_000977
479     11983 PV2T_000978
480     11983 PV2T_000979
481     11983 PV2T_000980
482     11983 PV2T_000981
483     11983 PV2T_000982
484     11983 PV2T_000983
485     11983 PV2T_000984
486     11983 PV2T_000985
487     11983 PV2T_000986
488     11983 PV2T_000987
489     11983 PV2T_000988
490     11983 PV2T_000989
491     11983 PV2T_000990
492     11983 PV2T_000991
493     11983 PV2T_000992
494     11983 PV2T_000993
495     11983 PV2T_000994
496     11983 PV2T_000995
497     11983 PV2T_000996
498     11983 PV2T_000997
499     11983 PV2T_000998
500     11983 PV2T_000999
501     11983 PV2T_001000
502     11983 PV2T_001001
503     11983 PV2T_001002
504     11983 PV2T_001003
505     11983 PV2T_001004
506     11983 PV2T_001005
507     11983 PV2T_001006
508     11983 PV2T_001007
509     11983 PV2T_001008
510     11983 PV2T_001009
511     11983 PV2T_001010
512     11983 PV2T_001011
513     11983 PV2T_001012
514     11983 PV2T_001013
515     11983 PV2T_001014
516     11983 PV2T_001015
517     11983 PV2T_001016
518     11983 PV2T_001017
519     11983 PV2T_001018
520     11983 PV2T_001019
521     11983 PV2T_001020
522     11983 PV2T_001021
523     11983 PV2T_001022
524     11983 PV2T_001023
525     11983 PV2T_001024
526     11983 PV2T_001025
527     11983 PV2T_001026
528     11983 PV2T_001027
529     11983 PV2T_001028
530     11983 PV2T_001029
531     11983 PV2T_001030
532     11983 PV2T_001031
533     11983 PV2T_001032
534     11983 PV2T_001033
535     11983 PV2T_001034
536     11983 PV2T_001035
537     11983 PV2T_001036
538     11983 PV2T_001037
539     11983 PV2T_001038
540     11983 PV2T_001039
541     11983 PV2T_001040
542     11983 PV2T_001041
543     11983 PV2T_001042
544     11983 PV2T_001043
545     11983 PV2T_001044
546     11983 PV2T_001045
547     11983 PV2T_001046
548     11983 PV2T_001047
549     11983 PV2T_001048
550     11983 PV2T_001049
551     11983 PV2T_001050
552     11983 PV2T_001051
553     11983 PV2T_001052
554     11983 PV2T_001053
555     11983 PV2T_001054
556     11983 PV2T_001055
557     11983 PV2T_001056
558     11983 PV2T_001057
559     11983 PV2T_001058
560     11983 PV2T_001059
561     11983 PV2T_001060
562     11983 PV2T_001061
563     11983 PV2T_001062
564     11983 PV2T_001063
565     11983 PV2T_001064
566     11983 PV2T_001065
567     11983 PV2T_001066
568     11983 PV2T_001067
569     11983 PV2T_001068
570     11983 PV2T_001069
571     11983 PV2T_001070
572     11983 PV2T_001071
573     11983 PV2T_001072
574     11983 PV2T_001073
575     11983 PV2T_001074
576     11983 PV2T_001075
577     11983 PV2T_001076
578     11983 PV2T_001077
579     11983 PV2T_001078
580     11983 PV2T_001079
581     11983 PV2T_001080
582     11983 PV2T_001081
583     11983 PV2T_001082
584     11983 PV2T_001083
585     11983 PV2T_001084
586     11983 PV2T_001085
587     11983 PV2T_001086
588     11983 PV2T_001087
589     11983 PV2T_001088
590     11983 PV2T_001089
591     11983 PV2T_001090
592     11983 PV2T_001091
593     11983 PV2T_001092
594     11983 PV2T_001093
595     11983 PV2T_001094
596     11983 PV2T_001095
597     11983 PV2T_001096
598     11983 PV2T_001097
599     11983 PV2T_001098
600     11983 PV2T_001099
601     11983 PV2T_001100
602     11983 PV2T_001101
603     11983 PV2T_001102
604     11983 PV2T_001103
605     11983 PV2T_001104
606     11983 PV2T_001105
607     11983 PV2T_001106
608     11983 PV2T_001107
609     11983 PV2T_001108
610     11983 PV2T_001109
611     11983 PV2T_001110
612     11983 PV2T_001111
